2023-11-01 02:31:46 status half-installed libnsl-dev:amd64 1.3.0-2
2023-11-01 02:31:46 status unpacked libnsl-dev:amd64 1.3.0-2
2023-11-01 02:31:46 install rpcsvc-proto:amd64 <none> 1.4.3-1
2023-11-01 02:31:46 status half-installed rpcsvc-proto:amd64 1.4.3-1
2023-11-01 02:31:46 status unpacked rpcsvc-proto:amd64 1.4.3-1
2023-11-01 02:31:46 install libc6-dev:amd64 <none> 2.36-9+deb12u3
2023-11-01 02:31:46 status half-installed libc6-dev:amd64 2.36-9+deb12u3
2023-11-01 02:31:46 status unpacked libc6-dev:amd64 2.36-9+deb12u3
2023-11-01 02:31:46 install uuid-dev:amd64 <none> 2.38.1-5+b1
2023-11-01 02:31:46 status half-installed uuid-dev:amd64 2.38.1-5+b1
2023-11-01 02:31:46 status unpacked uuid-dev:amd64 2.38.1-5+b1
2023-11-01 02:31:46 install libsctp1:amd64 <none> 1.0.19+dfsg-2
2023-11-01 02:31:46 status half-installed libsctp1:amd64 1.0.19+dfsg-2
2023-11-01 02:31:46 status unpacked libsctp1:amd64 1.0.19+dfsg-2
2023-11-01 02:31:46 install libsctp-dev:amd64 <none> 1.0.19+dfsg-2
2023-11-01 02:31:46 status half-installed libsctp-dev:amd64 1.0.19+dfsg-2
2023-11-01 02:31:46 status unpacked libsctp-dev:amd64 1.0.19+dfsg-2
2023-11-01 02:31:46 install libapr1-dev:amd64 <none> 1.7.2-3
2023-11-01 02:31:46 status half-installed libapr1-dev:amd64 1.7.2-3
2023-11-01 02:31:46 status unpacked libapr1-dev:amd64 1.7.2-3
2023-11-01 02:31:46 install libldap-dev:amd64 <none> 2.5.13+dfsg-5
2023-11-01 02:31:46 status half-installed libldap-dev:amd64 2.5.13+dfsg-5
2023-11-01 02:31:46 status unpacked libldap-dev:amd64 2.5.13+dfsg-5
2023-11-01 02:31:46 install libldap2-dev:all <none> 2.5.13+dfsg-5
2023-11-01 02:31:46 status half-installed libldap2-dev:all 2.5.13+dfsg-5
2023-11-01 02:31:46 status unpacked libldap2-dev:all 2.5.13+dfsg-5
2023-11-01 02:31:46 install libexpat1-dev:amd64 <none> 2.5.0-1
2023-11-01 02:31:46 status half-installed libexpat1-dev:amd64 2.5.0-1
